id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
359401,CA,INDIVIDUAL,2 years,DMS Marketing,C,RENT,8/10/2021,5/16/2021,9/9/2021,Charged Off,9/10/2021,366581,car,C3, 36 months,Not Verified,48000,0.1753,200.47,0.1241,6000,14,5104
290803,TX,INDIVIDUAL,< 1 year,Nesle,C,RENT,8/3/2021,10/12/2021,10/8/2021,Charged Off,10/9/2021,290796,car,C2, 36 months,Not Verified,37440,0.0772,98.7,0.1134,3000,14,2798
847836,AZ,INDIVIDUAL,7 years,24 hour fitness,C,RENT,11/8/2021,5/16/2021,5/13/2021,Charged Off,6/13/2021,1059380,car,C3, 36 months,Not Verified,105000,0.135,382.74,0.1399,11200,29,8037
362098,FL,INDIVIDUAL,2 years,Starbucks,D,RENT,8/11/2021,11/1/2021,10/8/2021,Charged Off,10/9/2021,371139,car,D2, 36 months,Not Verified,15000,0.14,136.08,0.1367,4000,13,2685
1044994,CA,INDIVIDUAL,4 years,URS Corp,D,RENT,11/12/2021,5/16/2021,3/14/2021,Charged Off,4/14/2021,1275383,car,D2, 36 months,Not Verified,59100,0.1287,106.62,0.1677,3000,13,2772
734343,NY,INDIVIDUAL,4 years,Berean Group,B,MORTGAGE,11/4/2021,3/14/2021,10/13/2021,Charged Off,11/13/2021,930853,car,B2, 36 months,Not Verified,126000,0.1529,193.61,0.1,6000,22,5796
126392,WI,INDIVIDUAL,< 1 year,Tideway Systems,A,MORTGAGE,7/9/2021,7/8/2021,8/4/2021,Fully Paid,8/5/2021,125914,car,A4, 36 months,Not Verified,173000,0.0072,313.67,0.0807,10000,41,10435
269289,CT,INDIVIDUAL,< 1 year,mdm golf,A,MORTGAGE,8/3/2021,11/1/2021,10/10/2021,Fully Paid,10/11/2021,260821,car,A5, 36 months,Not Verified,60000,0.0894,316.28,0.0863,10000,27,11340
266282,TX,INDIVIDUAL,5 years,"NetVida Marketing, Inc.",B,MORTGAGE,8/2/2021,10/5/2021,10/5/2021,Fully Paid,10/6/2021,188654,car,B2, 36 months,Not Verified,40000,0.1872,257.24,0.0976,8000,35,9149
243406,NJ,INDIVIDUAL,9 years,CK General Construction,B,MORTGAGE,8/2/2021,12/9/2021,11/2/2021,Fully Paid,11/3/2021,243089,car,B2, 36 months,Not Verified,200000,0.0484,192.93,0.0976,6000,22,6945
226154,MN,INDIVIDUAL,10+ years,Ramsey County,E,MORTGAGE,8/1/2021,11/1/2021,11/2/2021,Fully Paid,11/3/2021,225530,car,E1, 36 months,Not Verified,72000,0.2257,170.72,0.1393,5000,44,6146
253727,WA,INDIVIDUAL,2 years,Central Washington Hospital,A,OWN,8/2/2021,10/9/2021,10/9/2021,Fully Paid,10/10/2021,253715,car,A5, 36 months,Not Verified,10000,0,142.33,0.0863,4500,6,5096
196380,CA,INDIVIDUAL,10+ years,Comerica Bank,A,RENT,8/1/2021,10/2/2021,10/2/2021,Fully Paid,10/3/2021,188466,car,A4, 36 months,Not Verified,62000,0.1407,345.06,0.0807,11000,23,12247
206181,MA,INDIVIDUAL,< 1 year,Lexington Alarm Systems,A,RENT,8/1/2021,4/16/2021,10/4/2021,Fully Paid,10/5/2021,167318,car,A1, 36 months,Not Verified,28800,0,108.27,0.0712,3500,5,3863
219070,CO,INDIVIDUAL,2 years,Arborist Services,B,RENT,8/2/2021,10/9/2021,10/9/2021,Fully Paid,10/10/2021,219037,car,B5, 36 months,Not Verified,50000,0.0506,194.91,0.1046,6000,21,6982
219000,WA,INDIVIDUAL,3 years,Evergreen Treatment Services,B,RENT,8/1/2021,11/1/2021,11/1/2021,Fully Paid,11/2/2021,218997,car,B1, 36 months,Not Verified,37000,0.1674,175.42,0.092,5500,36,6320
281384,TN,INDIVIDUAL,< 1 year,Church of God of Prophecy,C,RENT,8/3/2021,11/3/2021,11/3/2021,Fully Paid,11/4/2021,281309,car,C3, 36 months,Not Verified,54263,0.1238,115.69,0.1166,3500,23,4164
120525,VA,INDIVIDUAL,1 year,Starbucks,C,RENT,7/8/2021,11/6/2021,10/8/2021,Fully Paid,10/9/2021,120227,car,C3, 36 months,Not Verified,18000,0.18,130.79,0.1091,4000,5,4708
253987,VA,INDIVIDUAL,2 years,Comcast,C,RENT,8/2/2021,5/16/2021,10/6/2021,Fully Paid,10/7/2021,253974,car,C1, 36 months,Not Verified,41000,0.1692,98.26,0.1103,3000,16,3498
450292,CT,INDIVIDUAL,1 year,Newcomb Spring,A,MORTGAGE,9/10/2021,2/16/2021,12/10/2021,Fully Paid,12/11/2021,553755,car,A2, 36 months,Not Verified,85000,0.0239,136.66,0.074,4400,19,4920
401775,GA,INDIVIDUAL,1 year,Chemlink Laboratories,A,MORTGAGE,9/5/2021,12/5/2021,12/5/2021,Fully Paid,12/6/2021,446077,car,A2, 36 months,Not Verified,28500,0.0223,265.13,0.0768,8500,10,9544
373881,TX,INDIVIDUAL,1 year,Jesuit College Preparatory School,A,MORTGAGE,9/1/2021,11/2/2021,11/2/2021,Fully Paid,11/3/2021,394401,car,A2, 36 months,Not Verified,40308,0.0578,155.96,0.0768,5000,19,5422
973780,TX,INDIVIDUAL,1 year,Diamond Offshore,A,MORTGAGE,11/10/2021,10/14/2021,10/14/2021,Fully Paid,11/14/2021,1195796,car,A2, 36 months,Not Verified,149400,0.0994,214.93,0.0662,7000,43,7737
750759,WI,INDIVIDUAL,1 year,BRP US Inc,A,MORTGAGE,11/6/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,950147,car,A2, 36 months,Not Verified,54000,0.1129,60.84,0.0599,2000,18,2190
745149,OH,INDIVIDUAL,1 year,Independant Contractor,A,MORTGAGE,11/5/2021,5/16/2021,5/14/2021,Fully Paid,6/14/2021,943695,car,A3, 36 months,Not Verified,38400,0.0319,74.1,0.0699,2400,7,2667
775926,MO,INDIVIDUAL,1 year,Northwwind Engineering,A,MORTGAGE,11/6/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,978223,car,A4, 36 months,Not Verified,60000,0.0242,149.29,0.0749,4800,6,5374
651079,RI,INDIVIDUAL,1 year,Fakouri Electrical,A,MORTGAGE,11/1/2021,1/14/2021,1/14/2021,Fully Paid,2/14/2021,832879,car,A4, 36 months,Not Verified,58000,0.2127,124.04,0.0729,4000,24,4466
627209,MD,INDIVIDUAL,10+ years,Second Empire Furniture Inc.,A,MORTGAGE,10/12/2021,10/14/2021,12/13/2021,Fully Paid,1/13/2022,803704,car,A1, 36 months,Not Verified,31000,0.0283,241.28,0.0542,8000,17,8686
781516,MO,INDIVIDUAL,10+ years,state of missouri department of correcti,A,MORTGAGE,11/6/2021,11/7/2021,11/8/2021,Fully Paid,11/9/2021,984370,car,A1, 36 months,Not Verified,33600,0.0161,90.48,0.0542,3000,15,3014
971771,CA,INDIVIDUAL,10+ years,"Stafford Meat Co., Inc.",A,MORTGAGE,11/10/2021,5/16/2021,10/14/2021,Fully Paid,11/14/2021,1193520,car,A1, 36 months,Not Verified,64320,0.025,243.49,0.0603,8000,17,8765
796355,RI,INDIVIDUAL,10+ years,Local 51,A,MORTGAGE,11/6/2021,4/16/2021,7/14/2021,Fully Paid,8/14/2021,1001198,car,A1, 36 months,Not Verified,79200,0.0218,150.8,0.0542,5000,28,5429
868443,DE,INDIVIDUAL,10+ years,Bank of America,A,MORTGAGE,11/9/2021,5/16/2021,4/14/2021,Fully Paid,5/14/2021,1082151,car,A1, 36 months,Not Verified,63996,0.0651,96.52,0.0542,3200,26,3468
683816,NY,INDIVIDUAL,10+ years,operating engineers local 158,A,MORTGAGE,11/3/2021,11/9/2021,11/9/2021,Fully Paid,11/10/2021,873188,car,A1, 36 months,Not Verified,72000,0.2075,223.19,0.0542,7400,23,7556
1023029,PA,INDIVIDUAL,10+ years,williams service co,A,MORTGAGE,11/11/2021,11/14/2021,12/14/2021,Fully Paid,1/14/2022,1251828,car,A1, 36 months,Not Verified,72000,0.1782,152.18,0.0603,5000,37,5478
886517,NM,INDIVIDUAL,10+ years,"C&E Concrete,inc.",A,MORTGAGE,11/9/2021,9/14/2021,10/14/2021,Fully Paid,11/14/2021,1102391,car,A1, 36 months,Not Verified,41784,0.1872,152.18,0.0603,5000,22,5478
1001581,TX,INDIVIDUAL,10+ years,BASF Corporation,A,MORTGAGE,11/10/2021,5/16/2021,10/13/2021,Fully Paid,11/13/2021,1227382,car,A1, 36 months,Not Verified,96000,0.238,182.62,0.0603,6000,27,6493
1004019,NY,INDIVIDUAL,10+ years,village of solvay dpw,A,MORTGAGE,11/10/2021,4/16/2021,8/14/2021,Fully Paid,9/14/2021,1230439,car,A1, 36 months,Not Verified,54000,0.2407,182.62,0.0603,6000,32,6569
675716,NV,INDIVIDUAL,10+ years,Gideon Toal/U.P.R Inc.,A,MORTGAGE,11/2/2021,4/14/2021,3/14/2021,Fully Paid,4/14/2021,863546,car,A1, 36 months,Not Verified,36000,0.2293,271.44,0.0542,9000,47,9772
887254,MN,INDIVIDUAL,10+ years,City of West St Paul,A,MORTGAGE,11/10/2021,5/16/2021,11/14/2021,Fully Paid,12/14/2021,1103400,car,A1, 36 months,Not Verified,114000,0.1658,219.14,0.0603,7200,52,7889
865714,TX,INDIVIDUAL,10+ years,Harris County,A,MORTGAGE,11/9/2021,5/16/2021,8/13/2021,Fully Paid,9/13/2021,1078994,car,A1, 36 months,Not Verified,48000,0.1732,170.41,0.0542,5650,32,6067
770503,LA,INDIVIDUAL,10+ years,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,11/6/2021,12/1/2021,12/1/2021,Fully Paid,12/2/2021,972180,car,A2, 36 months,Not Verified,39600,0.1406,182.51,0.0599,6000,32,6194
548151,NJ,INDIVIDUAL,10+ years,ABERDEEN TWSP,A,MORTGAGE,10/7/2021,5/16/2021,8/13/2021,Fully Paid,9/13/2021,706758,car,A2, 36 months,Not Verified,108000,0.1976,107.69,0.0676,3500,37,3877
542312,FL,INDIVIDUAL,10+ years,Micros Systems Inc.,A,MORTGAGE,10/7/2021,5/16/2021,7/13/2021,Fully Paid,8/13/2021,699868,car,A2, 36 months,Not Verified,57431,0.0618,123.07,0.0676,4000,21,4431
1008323,AR,INDIVIDUAL,10+ years,Arkansas Department Of Correction,A,MORTGAGE,11/11/2021,12/15/2021,12/14/2021,Fully Paid,1/14/2022,1234988,car,A3, 36 months,Not Verified,32468.8,0.2935,186.67,0.0751,6000,16,6714
457893,AR,INDIVIDUAL,10+ years,Kroger,A,MORTGAGE,9/11/2021,12/11/2021,12/11/2021,Fully Paid,12/12/2021,569597,car,A3, 36 months,Not Verified,26000,0.0429,218.54,0.0774,7000,11,7867
451579,OH,INDIVIDUAL,10+ years,Alliance Data Systems,A,MORTGAGE,9/10/2021,6/14/2021,12/3/2021,Fully Paid,12/4/2021,556476,car,A3, 36 months,Not Verified,75000,0.0234,156.1,0.0774,5000,21,5584
1027822,KY,INDIVIDUAL,10+ years,City of Madisonville,A,MORTGAGE,11/11/2021,5/16/2021,8/14/2021,Fully Paid,9/14/2021,1257204,car,A3, 36 months,Not Verified,58000,0.2692,56,0.0751,1800,28,2013
700052,NC,INDIVIDUAL,10+ years,RCCG - Victory Temple,A,MORTGAGE,11/4/2021,11/15/2021,4/14/2021,Fully Paid,5/14/2021,891691,car,A3, 36 months,Not Verified,50000,0.203,308.41,0.0692,10000,32,11103
661459,OH,INDIVIDUAL,10+ years,Atkins and Pearce,A,MORTGAGE,11/2/2021,2/14/2021,2/14/2021,Fully Paid,3/14/2021,845936,car,A4, 36 months,Not Verified,48000,0.1988,201.57,0.0729,6500,24,7257
768140,CA,INDIVIDUAL,10+ years,Orchard Supply Hardware,A,MORTGAGE,11/5/2021,12/12/2021,12/12/2021,Fully Paid,12/1/2022,969361,car,A4, 36 months,Not Verified,73000,0.1433,155.51,0.0749,5000,23,5312
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
